song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy,year,genre_full
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,65,,65,1,20714476-804f-4217-9b57-63f08008d652,danceable,hip,female,not_aggressive,instrumental,95.9862747192,A#,0.914168536663,not_happy,2019,Hip-Hop
Look Back At It,A Boogie Wit da Hoodie,66,96.0,66,3,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy,2019,Rhythm & Blues (R&B)
All My Friends,21 Savage,67,,67,1,c0535b05-7475-4219-8c6a-6b3bfa1a2dfc,danceable,pop,male,not_aggressive,voice,129.906921387,E,0.849722862244,not_happy,2019,Pop
BAD!,XXXTENTACION,68,52.0,16,7,0e20165f-e02e-4472-9f4a-80ecacc5bda7,danceable,rhy,female,not_aggressive,voice,144.020614624,F,0.843534529209,not_happy,2019,Rhythm & Blues (R&B)
Break Da Law,21 Savage,70,,70,1,50e39a3a-1c30-4458-be7f-5b22bfe5b89f,danceable,hip,female,not_aggressive,voice,140.900024414,A#,0.836931109428,not_happy,2019,Hip-Hop
Monster,21 Savage,73,,73,1,b27f812f-2aba-4c08-b1b1-f079666e5609,danceable,rhy,female,not_aggressive,instrumental,133.933944702,F,0.490655571222,not_happy,2019,Rhythm & Blues (R&B)
Calling My Spirit,Kodak Black,74,46.0,46,4,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy,2019,Rhythm & Blues (R&B)
Sixteen,Thomas Rhett,79,67.0,67,7,5ea5b5de-1312-43f1-983e-9d753434b2f3,danceable,pop,female,not_aggressive,voice,106.918266296,C#,0.883783698082,not_happy,2019,Pop
Burning Man,Dierks Bentley Featuring Brothers Osborne,80,65.0,65,10,6259736f-ddd6-4791-9c1e-2346d41f636f,not_danceable,rhy,male,not_aggressive,voice,117.904968262,D#,0.773548305035,not_happy,2019,Rhythm & Blues (R&B)
When The Party's Over,Billie Eilish,82,77.0,52,10,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy,2019,Rhythm & Blues (R&B)
Sweet But Psycho,Ava Max,83,87.0,83,2,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy,2019,Pop
1.5,21 Savage,86,,86,1,e410fd46-eac2-4078-8e7a-474c526fb866,danceable,hip,female,not_aggressive,voice,112.006027222,A#,0.949841678143,not_happy,2019,Hip-Hop
Girl Like You,Jason Aldean,87,71.0,71,5,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy,2019,Pop
Out For The Night,21 Savage,88,,88,1,5ebc2841-3320-44c2-838a-4f40aaf0235e,danceable,hip,female,not_aggressive,voice,115.518218994,A#,0.850204050541,not_happy,2019,Hip-Hop
Good Girl,Dustin Lynch,89,72.0,72,7,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy,2019,Pop
Lovely,Billie Eilish & Khalid,91,89.0,78,9,1fc545d3-94b6-4a3d-bff3-bb8b861943d6,not_danceable,jaz,female,not_aggressive,voice,114.798667908,E,0.512330889702,happy,2019,Jazz
Ella Quiere Beber,Anuel AA & Romeo Santos,92,80.0,79,8,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy,2019,Rhythm & Blues (R&B)
Gun Smoke,21 Savage,93,,93,1,80db7e9d-ac83-4c8b-a45d-a8039988244c,danceable,hip,female,not_aggressive,voice,85.9376373291,A#,0.889067828655,not_happy,2019,Hip-Hop
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,94,,94,1,409aa93f-01ab-46f0-b83c-b919ccb4afed,not_danceable,roc,female,aggressive,voice,129.932723999,A#,0.972659707069,happy,2019,Rock
ASMR,21 Savage,95,,95,1,255b4034-66b2-45ed-9494-6020634e5048,danceable,rhy,male,not_aggressive,voice,112.828994751,A#,0.721184790134,not_happy,2019,Rhythm & Blues (R&B)
Last Shot,Kip Moore,96,78.0,78,6,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy,2019,Rock
This Is It,Scotty McCreery,100,84.0,84,3,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy,2019,Rock
Without Me,Halsey,1,2.0,1,13,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy,2019,Rhythm & Blues (R&B)
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,5.0,3,11,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy,2019,Pop
High Hopes,Panic! At The Disco,5,6.0,5,22,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy,2019,Pop
