song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Long Line Rider,Bobby Darin,81,81.0,81,2,b9d4fa66-3e31-4615-866f-7488a940b64e,danceable,rhy,male,not_aggressive,voice,122.148612976,F,0.945202827454,not_happy
"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,82,,82,1,aafc17cd-16f5-4144-8dd3-21be2466609a,not_danceable,roc,male,not_aggressive,voice,135.789581299,G,0.946098506451,happy
Lovin' Things,The Grass Roots,83,,83,1,da8ff273-b643-4ff0-a5b9-f07f55b62e80,danceable,roc,male,not_aggressive,voice,130.332595825,G#,0.936711072922,happy
Hello It's Me,Nazz,87,,87,1,413b276c-2fd9-4b8a-bb06-d51aa5c029fc,not_danceable,jaz,female,not_aggressive,voice,154.425094604,A,0.568808197975,not_happy
Great Balls Of Fire,Tiny Tim,88,97.0,88,2,c973f8e6-7ad5-4227-831d-d9ffe72b0e76,not_danceable,roc,male,aggressive,voice,164.021270752,C,0.915737569332,happy
No Not Much,The Smoke Ring,89,,89,1,b4c713ef-079c-4b30-888b-de30fc412054,danceable,cla,male,not_aggressive,voice,88.9264678955,G#,0.754382610321,happy
Glad She's A Woman,Bobby Goldsboro,90,98.0,90,2,798f2ddc-9273-4ff0-8197-55b75459a25a,not_danceable,cla,male,not_aggressive,voice,88.0124893188,D,0.667190849781,not_happy
Me About You,The Lovin' Spoonful,91,91.0,91,2,fbb689c9-380e-49fc-905f-d3e85cecfb9e,not_danceable,cla,male,not_aggressive,voice,129.444869995,D,0.459176629782,not_happy
The Carroll County Accident,Porter Wagoner,92,92.0,92,4,9e423ec2-2d10-44ea-9cd8-e3375c60b9dd,danceable,rhy,male,not_aggressive,voice,91.9399108887,G,0.928784191608,not_happy
Anything You Choose,Spanky And Our Gang,95,,95,1,fd30e339-731e-4624-b69f-7e12ff570861,danceable,pop,male,not_aggressive,voice,184.570770264,C,0.802895069122,happy
Try A Little Tenderness,Three Dog Night,96,99.0,96,2,35eb08df-b1be-4d7b-89f7-e73519a53cb3,danceable,rhy,male,not_aggressive,voice,98.1873245239,G,0.798001289368,not_happy
Switch It On,Cliff Nobles & Co.,97,,97,1,0ca57285-6221-49d8-9e06-9f00716f4bac,danceable,rhy,female,not_aggressive,instrumental,139.108444214,A#,0.897601544857,happy
Touch Me,The Doors,4,3.0,3,9,e1f18237-dc4f-416c-aa47-abc33286f326,not_danceable,roc,female,not_aggressive,instrumental,110.891235352,F,0.760567486286,happy
You Showed Me,The Turtles,7,7.0,7,8,416855f9-42b3-49d8-a27b-8e6ad4e0ecbf,not_danceable,jaz,male,not_aggressive,voice,91.157913208,C,0.521225094795,happy
Proud Mary,Creedence Clearwater Revival,9,21.0,9,5,595f1216-6c8a-490d-bf5b-2729f2f1f9d7,not_danceable,cla,male,not_aggressive,voice,134.795547485,D,0.853143274784,not_happy
I'm Livin' In Shame,Diana Ross & The Supremes,10,11.0,10,5,ba45ffdc-6cd5-455d-a65a-f8f725837273,danceable,pop,female,not_aggressive,voice,122.933372498,C,0.958442866802,happy
Games People Play,Joe South,13,15.0,13,7,aecfd68c-e0bb-4e73-8ecc-934cfabfd29a,danceable,rhy,male,not_aggressive,voice,85.1200790405,A,0.865149378777,happy
